"","ADM0_A3","scalerank","featurecla","LABELRANK","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","BRK_DIFF","NAME","NAME_LONG","BRK_A3","BRK_NAME","BRK_GROUP","ABBREV","POSTAL","FORMAL_EN","FORMAL_FR","NOTE_ADM0","NOTE_BRK","NAME_SORT","NAME_ALT","MAPCOLOR7","MAPCOLOR8","MAPCOLOR9","MAPCOLOR13","POP_EST","GDP_MD_EST","POP_YEAR","LASTCENSUS","GDP_YEAR","ECONOMY","INCOME_GRP","WIKIPEDIA","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","UN_A3","WB_A2","WB_A3","WOE_ID","WOE_ID_EH","WOE_NOTE","ADM0_A3_IS","ADM0_A3_US","ADM0_A3_UN","ADM0_A3_WB","CONTINENT","REGION_UN","SUBREGION","REGION_WB","NAME_LEN","LONG_LEN","ABBREV_LEN","TINY","HOMEPART","Country","HighIncome","OECD","SERF","GDPPC","Education","Health","Housing","Food","Work","EnrollYear","EnrollGDP","EnrollRate","EnrollAdjPerf","PrimaryYear","PrimaryGDP","PrimaryRate","PrimaryAdjPerf","ChildSurviveYear","ChildSurviveGDP","ChildSurviveRate","ChildSurviveAdjPerf","Age65Year","Age65GDP","Age65Rate","Age65AdjPerf","ContraceptiveYear","ContraceptiveGDP","ContraceptiveRate","ContraceptiveAdjPerf","SanitationYear","SanitationGDP","SanitationRate","SanitationAdjPerf","RuralImprovedH20Year","RuralImprovedH20GDP","RuralImprovedH20Rate","RuralImprovedH20AdjPerf","StuntingYear","StuntingGDP","StuntingRate","Stunting.AdjPerf","NotPoorYear","NotPoorGDP","NotPoorRate","NotPoorAdjPerf"
"11","ASM",5,"Admin-0 country",4,"United States of America","US1",1,2,"Dependency","American Samoa",0,"American Samoa","ASM",0,"American Samoa","ASM",0,"American Samoa","American Samoa","ASM","American Samoa",NA,"Am. Samoa","AS","American Samoa",NA,"U.S.A.",NA,"American Samoa",NA,4,5,1,1,65628,575.3,-99,2010,-99,"6. Developing region","3. Upper middle income",-99,"AQ","AS","ASM","016","016","AS","ASM",23424746,23424746,"Exact WOE match as country","ASM","ASM",-99,-99,"Oceania","Oceania","Polynesia","East Asia & Pacific",14,14,9,3,-99,"American Samoa",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ATA",0,"Admin-0 country",4,"Antarctica","ATA",0,2,"Indeterminate","Antarctica",0,"Antarctica","ATA",0,"Antarctica","ATA",0,"Antarctica","Antarctica","ATA","Antarctica",NA,"Ant.","AQ",NA,NA,NA,"Multiple claims held in abeyance","Antarctica",NA,4,5,1,-99,3802,760.4,-99,-99,-99,"6. Developing region","2. High income: nonOECD",-99,"AY","AQ","ATA","010","-099","-99","-99",28289409,28289409,"Exact WOE match as country","ATA","ATA",-99,-99,"Antarctica","Antarctica","Antarctica","Antarctica",10,10,4,-99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ATC",6,"Admin-0 country",5,"Australia","AU1",1,2,"Dependency","Ashmore and Cartier Islands",0,"Ashmore and Cartier Islands","ATC",0,"Ashmore and Cartier Islands","ATC",0,"Ashmore and Cartier Is.","Ashmore and Cartier Islands","ATC","Ashmore and Cartier Is.",NA,"A.C.Is.","AU","Territory of Ashmore and Cartier Islands",NA,"Auz.",NA,"Ashmore and Cartier Islands",NA,1,2,2,7,-99,-99,-99,-99,-99,"7. Least developed region","5. Low income",-99,"AT","-99","-99","036","-099","-99","-99",23424749,23424749,"WOE admin-1 match.","AUS","ATC",-99,-99,"Oceania","Oceania","Australia and New Zealand","East Asia & Pacific",23,27,7,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ATF",3,"Admin-0 country",6,"France","FR1",1,2,"Dependency","French Southern and Antarctic Lands",0,"French Southern and Antarctic Lands","ATF",0,"French Southern and Antarctic Lands","ATF",0,"Fr. S. Antarctic Lands","French Southern and Antarctic Lands","ATF","Fr. S. and Antarctic Lands",NA,"Fr. S.A.L.","TF","Territory of the French Southern and Antarctic Lands",NA,"Fr.",NA,"French Southern and Antarctic Lands",NA,7,5,9,11,140,16,-99,-99,-99,"6. Developing region","2. High income: nonOECD",-99,"FS","TF","ATF","260","-099","-99","-99",28289406,28289406,"Exact WOE match as country","ATF","ATF",-99,-99,"Seven seas (open ocean)","Seven seas (open ocean)","Seven seas (open ocean)","Sub-Saharan Africa",22,35,10,2,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ATG",3,"Admin-0 country",6,"Antigua and Barbuda","ATG",0,2,"Sovereign country","Antigua and Barbuda",0,"Antigua and Barbuda","ATG",0,"Antigua and Barbuda","ATG",0,"Antigua and Barb.","Antigua and Barbuda","ATG","Antigua and Barb.",NA,"Ant.B.","AG","Antigua and Barbuda",NA,NA,NA,"Antigua and Barbuda",NA,2,2,5,5,85632,1657,-99,2011,-99,"6. Developing region","3. Upper middle income",-99,"AC","AG","ATG","028","028","AG","ATG",23424737,23424737,"Exact WOE match as country","ATG","ATG",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",17,19,6,4,1,"Antigua and Barbuda",1,0,NA,21660.22167,90.33848715,NA,91.84598973,NA,NA,2012,20541.27416,82.03106689,80.6769743,2014,21011.81136,102.272728,100,2015,21660.22167,99.19,98.31984801,2014,21011.81136,81.2058372,87.88856274,NA,NA,NA,NA,2011,19987.92414,91.4,87.71045665,2015,21660.22167,97.9,95.98152281,NA,NA,NA,NA,NA,NA,NA,NA
"16","AUS",0,"Admin-0 country",2,"Australia","AU1",1,2,"Country","Australia",0,"Australia","AUS",0,"Australia","AUS",0,"Australia","Australia","AUS","Australia",NA,"Auz.","AU","Commonwealth of Australia",NA,NA,NA,"Australia",NA,1,2,2,7,21262641,800200,-99,2006,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"AS","AU","AUS","036","036","AU","AUS",-90,23424748,"Includes Ashmore and Cartier Islands (23424749) and Coral Sea Islands (23424790).","AUS","AUS",-99,-99,"Oceania","Oceania","Australia and New Zealand","East Asia & Pacific",9,9,4,-99,1,"Australia",1,1,NA,43631.23586,NA,93.11663636,100,100,NA,2014,43273.85764,116.2323,100,NA,NA,NA,NA,2015,43631.23586,99.62,99.23896755,2014,43273.85764,90.65379266,99.37690714,2005,38818.84192,68,80.73403439,2015,43631.23586,100,100,2015,43631.23586,100,100,2007,40617.00994,98.20000005,100,NA,NA,NA,NA
"17","AUT",0,"Admin-0 country",4,"Austria","AUT",0,2,"Sovereign country","Austria",0,"Austria","AUT",0,"Austria","AUT",0,"Austria","Austria","AUT","Austria",NA,"Aust.","A","Republic of Austria",NA,NA,NA,"Austria",NA,3,1,3,4,8210281,329500,-99,2011,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"AU","AT","AUT","040","040","AT","AUT",23424750,23424750,"Exact WOE match as country","AUT","AUT",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",7,7,5,-99,1,"Austria",1,1,NA,44048.43145,95.16683132,92.29692352,100,NA,NA,2015,44048.43145,95.63781,93.16459217,2014,44122.65041,99.23864746,97.16907047,2015,44048.43145,99.65,99.32906186,2014,44122.65041,89.24850939,97.48431457,2009,42459.9772,67.5,80.07739412,2015,44048.43145,100,100,2015,44048.43145,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"18","AZE",0,"Admin-0 country",5,"Azerbaijan","AZE",0,2,"Sovereign country","Azerbaijan",0,"Azerbaijan","AZE",0,"Azerbaijan","AZE",0,"Azerbaijan","Azerbaijan","AZE","Azerbaijan",NA,"Aze.","AZ","Republic of Azerbaijan",NA,NA,NA,"Azerbaijan",NA,1,6,5,8,8238672,77610,-99,2009,-99,"6. Developing region","3. Upper middle income",-99,"AJ","AZ","AZE","031","031","AZ","AZE",23424741,23424741,"Exact WOE match as country","AZE","AZE",-99,-99,"Asia","Asia","Western Asia","Europe & Central Asia",10,10,4,-99,1,"Azerbaijan",0,0,79.02451098,16698.86368,85.6346631,62.93562693,75.65705575,74.35211136,96.54309774,2014,16715.10552,75.39504242,75.55087641,2014,16715.10552,98.12570953,95.71844979,2015,16698.86368,96.83,91.116838,2014,16715.10552,75.19750927,80.29327741,2006,10711.18227,14.3,17.39676537,2015,16698.86368,89.3,85.99884726,2015,16698.86368,77.8,65.31526423,2013,16593.18876,82,74.35211136,2008,14364.99423,97.49,96.54309774
"19","BDI",0,"Admin-0 country",6,"Burundi","BDI",0,2,"Sovereign country","Burundi",0,"Burundi","BDI",0,"Burundi","BDI",0,"Burundi","Burundi","BDI","Burundi",NA,"Bur.","BI","Republic of Burundi",NA,NA,NA,"Burundi",NA,2,2,5,8,8988091,3102,-99,2008,-99,"7. Least developed region","5. Low income",-99,"BY","BI","BDI","108","108","BI","BDI",23424774,23424774,"Exact WOE match as country","BDI","BDI",-99,-99,"Africa","Africa","Eastern Africa","Sub-Saharan Africa",7,7,4,-99,1,"Burundi",0,0,70.28266613,682.944118,87.1341687,80.51175141,100,46.41271629,37.35469427,2013,725.3044314,62.39812088,84.16956548,2014,734.4845955,66.639328,90.09877192,2015,682.944118,91.83,100,2014,734.4845955,53.42883513,100,2010,707.7875756,17.7,41.53525422,2015,682.944118,48,100,2015,682.944118,73.8,100,2010,707.7875756,42.5,46.41271629,2006,689.3479051,7.83,37.35469427
"20","BEL",0,"Admin-0 country",2,"Belgium","BEL",0,2,"Sovereign country","Belgium",0,"Belgium","BEL",0,"Belgium","BEL",0,"Belgium","Belgium","BEL","Belgium",NA,"Belg.","B","Kingdom of Belgium",NA,NA,NA,"Belgium",NA,3,2,1,8,10414336,389300,-99,2011,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"BE","BE","BEL","056","056","BE","BEL",23424757,23424757,"Exact WOE match as country","BEL","BEL",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",7,7,5,-99,1,"Belgium",1,1,NA,41825.87498,81.94178102,92.33701341,99.47411276,NA,NA,2014,41274.46739,118.6922684,100,2014,41274.46739,88.39974213,63.88356204,2015,41825.87498,99.59,99.16328622,2014,41274.46739,88.0520754,95.96792031,2010,41086.55159,69,81.8798337,2015,41825.87498,99.5,98.94822552,2015,41825.87498,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"21","BEN",0,"Admin-0 country",5,"Benin","BEN",0,2,"Sovereign country","Benin",0,"Benin","BEN",0,"Benin","BEN",0,"Benin","Benin","BEN","Benin",NA,"Benin","BJ","Republic of Benin",NA,NA,NA,"Benin",NA,1,2,2,12,8791832,12830,-99,2002,-99,"7. Least developed region","5. Low income",-99,"BN","BJ","BEN","204","204","BJ","BEN",23424764,23424764,"Exact WOE match as country","BEN","BEN",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",5,5,5,-99,1,"Benin",0,0,58.66298785,1931.664951,87.38900994,54.51319643,52.27176472,66.18161513,32.95935302,2013,1875.037163,73.1049118,94.51935931,2014,1942.262992,76.34879303,80.25866058,2015,1931.664951,90.05,76.31376147,2014,1942.262992,58.69862285,75.65956694,2012,1796.633965,7.9,11.56626089,2015,1931.664951,19.7,24.42088466,2015,1931.664951,72.1,80.12264479,2014,1942.262992,66,66.18161513,2011,1761.574331,24.37,32.95935302
"22","BFA",0,"Admin-0 country",3,"Burkina Faso","BFA",0,2,"Sovereign country","Burkina Faso",0,"Burkina Faso","BFA",0,"Burkina Faso","BFA",0,"Burkina Faso","Burkina Faso","BFA","Burkina Faso",NA,"B.F.","BF","Burkina Faso",NA,NA,NA,"Burkina Faso",NA,2,1,5,11,15746232,17820,-99,2006,-99,"7. Least developed region","5. Low income",-99,"UV","BF","BFA","854","854","BF","BFA",23424978,23424978,"Exact WOE match as country","BFA","BFA",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",12,12,4,-99,1,"Burkina Faso",0,0,58.09866226,1592.9168,63.26949855,62.09237132,56.7137388,72.17033092,36.2473717,2013,1559.984966,46.53580856,60.84283702,2014,1576.296916,60.5324707,65.69616009,2015,1592.9168,91.14,81.95988272,2014,1576.296916,56.76038411,78.54718146,2014,1576.296916,17,25.77004979,2015,1592.9168,19.7,26.09465812,2015,1592.9168,75.8,87.33281947,2010,1420.932567,64.90000153,72.17033092,2014,1576.296916,25.35,36.2473717
"23","BGD",0,"Admin-0 country",3,"Bangladesh","BGD",0,2,"Sovereign country","Bangladesh",0,"Bangladesh","BGD",0,"Bangladesh","BGD",0,"Bangladesh","Bangladesh","BGD","Bangladesh",NA,"Bang.","BD","People's Republic of Bangladesh",NA,NA,NA,"Bangladesh",NA,3,4,7,7,156050883,224000,-99,2011,-99,"7. Least developed region","5. Low income",-99,"BG","BD","BGD","050","050","BD","BGD",23424759,23424759,"Exact WOE match as country","BGD","BGD",-99,-99,"Asia","Asia","Southern Asia","South Asia",10,10,5,-99,1,"Bangladesh",0,0,70.04298107,3136.561069,74.78041051,88.89017145,79.08970767,55.73248706,51.72212866,2011,2579.335048,59.21717834,74.76372004,2011,2579.335048,73.53121948,74.79710098,2015,3136.561069,96.24,93.86089602,2014,2979.16727,75.00211634,93.29171044,2013,2843.235044,59.2,79.51790788,2015,3136.561069,60.6,67.32178688,2015,3136.561069,87,90.85762846,2014,2979.16727,63.59999847,55.73248706,2010,2451.305285,43.2,51.72212866
"24","BGR",0,"Admin-0 country",4,"Bulgaria","BGR",0,2,"Sovereign country","Bulgaria",0,"Bulgaria","BGR",0,"Bulgaria","BGR",0,"Bulgaria","Bulgaria","BGR","Bulgaria",NA,"Bulg.","BG","Republic of Bulgaria",NA,NA,NA,"Bulgaria",NA,4,5,1,8,7204687,93750,-99,2011,-99,"2. Developed region: nonG7","3. Upper middle income",-99,"BU","BG","BGR","100","100","BG","BGR",23424771,23424771,"Exact WOE match as country","BGR","BGR",-99,-99,"Europe","Europe","Eastern Europe","Europe & Central Asia",8,8,5,-99,1,"Bulgaria",0,0,NA,17000.14214,93.81935605,76.94126799,89.96793399,NA,93.25701746,2015,17000.14214,90.53091,90.6396415,2014,16302.28881,98.67485809,96.9990706,2015,17000.14214,98.96,97.82898716,2014,16302.28881,78.37225721,84.66549596,2007,14795.85668,40.1,48.32932086,2015,17000.14214,86,81.64180056,2015,17000.14214,99,98.29406741,NA,NA,NA,NA,2012,15772.06271,95.3,93.25701746
"25","BHR",5,"Admin-0 country",4,"Bahrain","BHR",0,2,"Sovereign country","Bahrain",0,"Bahrain","BHR",0,"Bahrain","BHR",0,"Bahrain","Bahrain","BHR","Bahrain",NA,"Bahr.","BH","Kingdom of Bahrain",NA,NA,NA,"Bahrain",NA,1,1,1,9,727785,26820,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,"BA","BH","BHR","048","048","BH","BHR",23424753,23424753,"Exact WOE match as country","BHR","BHR",-99,-99,"Asia","Asia","Western Asia","Middle East & North Africa",7,7,5,2,1,"Bahrain",1,0,NA,43753.89818,NA,NA,99.14100647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,43753.89818,99.38,98.48453899,2014,43014.17988,87.02477953,94.55274536,NA,NA,NA,NA,2015,43753.89818,99.2,98.28201294,2015,43753.89818,100,100,NA,NA,NA,NA,NA,NA,NA,NA
